,ID,,,,STUDY TITLE,,,,COMPKEY,,"UNITID/
UNITID2",,,"DIR
FLOW",LANE,START DATE,AMPK,,PMPK,AWDT,,ADT,,,"WEEK
DAYS",DAYS
,209216,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,N,STANDARD,29-Mar-2006,230,,465,"4,213",,"3,966",,,5,7
,209217,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,S,STANDARD,29-Mar-2006,430,,447,"5,087",,"4,777",,,5,7
,211772,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,N,STANDARD,18-Apr-2007,224,,463,"4,169",,"3,914",,,5,7
,211773,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,S,STANDARD,18-Apr-2007,424,,428,"4,874",,"4,605",,,5,7
,214733,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,N,STANDARD,04-Aug-2008,213,,406,"3,801",,"3,658",,,5,7
,214734,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,S,STANDARD,04-Aug-2008,312,,383,"4,415",,"4,119",,,5,7
,217286,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,N,STANDARD,06-Aug-2009,204,,360,"3,183",,"3,077",,,5,7
,217287,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,S,STANDARD,06-Aug-2009,289,,377,"4,307",,"4,054",,,5,7
,217417,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,S,STANDARD,31-Aug-2009,319,,409,"4,337",,"4,002",,,5,7
,300929,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,N,STANDARD,28-Oct-2010,258,,433,"4,134",,"3,936",,,5,7
,300930,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,S,STANDARD,28-Oct-2010,360,,424,"4,608",,"4,392",,,5,7
,303866,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,S,STANDARD,24-Aug-2011,314,,372,"4,168",,"3,934",,,5,7
,303865,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,N,STANDARD,24-Aug-2011,206,,369,"3,584",,"3,455",,,5,7
,307229,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,S,STANDARD,27-Mar-2012,362,,418,"4,429",,"4,225",,,5,7
,307223,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,N,STANDARD,27-Mar-2012,228,,399,"3,838",,"3,715",,,5,7
,311556,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,TOTAL,STANDARD,24-Jun-2013,496,,752,"8,019",,"7,812",,,5,7
,311547,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,S,STANDARD,24-Jun-2013,338,,381,"4,401",,"4,207",,,5,7
,311546,,,,"12TH AVE E, N/O E JOHN ST",,,,1551,,00325/0020,,,N,STANDARD,24-Jun-2013,206,,379,"3,617",,"3,605",,,5,7
,309596,,,,"12TH AVE E, N/O E MERCER ST",,,,1555,,00325/0060,,,TOTAL,STANDARD,03-Dec-2012,442,,549,"5,716",,"5,286",,,5,7
,215054,,,,"12TH AVE E, S/O E JOHN ST",,,,1550,,00325/0010,,,N,STANDARD,17-Sep-2008,302,,556,"5,017",,"4,659",,,5,7
,217416,,,,"12TH AVE E, S/O E JOHN ST",,,,1550,,00325/0010,,,N,STANDARD,31-Aug-2009,255,,452,"4,358",,"4,019",,,5,7
,212042,,,,"12TH AVE NE, N/O NE 50TH ST",,,,1570,,00330/0500,,,S,STANDARD,21-May-2007,25,,36,327,,308,,,5,7
,216894,,,,"12TH AVE NE, N/O NE 50TH ST",,,,1570,,00330/0500,,,S,STANDARD,16-Jun-2009,32,,35,415,,395,,,5,7
,212835,,,,"12TH AVE NE, S/O LAKE CITY WAY NE",,,,1591,,00330/0760,,,N,STANDARD,27-Sep-2007,138,,344,"2,829",,"2,738",,,5,7
