Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
ATKINSON,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Blank Voted,0
ATKINSON,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Counted,264
ATKINSON,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Over Voted,1
ATKINSON,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Yes,26
AUB 30-0046,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,No,109
AUB 30-0046,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Registered Voters,349
AUB 30-0046,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-0046,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Counted,132
AUB 30-0046,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
AUB 30-0046,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Yes,23
AUB 30-0053,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,No,101
AUB 30-0053,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Registered Voters,435
AUB 30-0053,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Blank Voted,1
AUB 30-0053,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Counted,129
AUB 30-0053,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
AUB 30-0053,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Yes,27
AUB 30-0067,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,No,78
AUB 30-0067,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Registered Voters,413
AUB 30-0067,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-0067,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Counted,112
AUB 30-0067,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
AUB 30-0067,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Yes,34
AUB 30-2702,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,No,66
AUB 30-2702,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Registered Voters,472
AUB 30-2702,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-2702,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Counted,104
AUB 30-2702,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
AUB 30-2702,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Yes,38
AUB 30-2703,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,No,35
AUB 30-2703,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Registered Voters,259
AUB 30-2703,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Blank Voted,0
AUB 30-2703,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Counted,49
AUB 30-2703,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
AUB 30-2703,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Yes,14
AUB 30-3476,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
